
Day,Fills,Duration,Colliding,LStableDel,LStableRec,LStableRecPercent,LReadyRec,LReadyRecPercent,LPeakAll,LPeakStable,PeakMu,AvgMu
151107,,0.0,0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
151106,,0.0,0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
151105,,0.0,0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0
151104,,0.0,0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
151103,4569,26785.1,2232,114.606,104.366,91.1%,104.366,91.1%,4716.0,4716.0,15.0,13.8
151102,4562 4565 4569,31007.9,2232,151.633,137.602,90.7%,135.539,89.4%,5237.0,5210.0,16.6,15.7
151101,4560 4562,65267.3,2232,267.983,246.327,91.9%,245.687,91.7%,5213.0,5213.0,16.6,13.4
151031,4557 4560,50193.1,2232,193.827,186.36,96.1%,185.85,95.9%,5222.0,5222.0,16.6,12.6
151030,4555 4557,24441.2,2232,80.45,76.659,95.3%,75.66,94.0%,4752.0,4640.0,17.5,14.4
151029,4545,9808.6,2232,45.763,42.202,92.2%,41.544,90.8%,4961.0,4893.0,15.6,15.0
151028,4540,45362.4,2232,161.366,155.006,96.1%,153.764,95.3%,4308.0,4267.0,13.6,11.5
151027,4538,67414.6,2029,215.058,196.667,91.4%,194.848,90.6%,3857.0,3857.0,13.5,11.4
151026,4536 4538,23915.1,2029,99.116,94.591,95.4%,93.741,94.6%,4632.0,4611.0,16.2,14.9
151025,,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
151024,4530 4532,24933.9,1813,96.532,90.713,94.0%,90.333,93.6%,4214.0,4195.0,16.5,15.5
151023,4528,35642.5,1813,123.505,115.063,93.2%,113.769,92.1%,4222.0,4044.0,15.9,13.8
151022,4525,7426.2,517,12.217,11.467,93.9%,10.99,90.0%,1775.0,1775.0,24.4,22.9
151021,4522 4525,28670.3,1813,106.881,100.231,93.8%,99.32,92.9%,4397.0,4355.0,24.9,15.4
151020,4518 4519,19089.6,1596,43.955,40.868,93.0%,39.222,89.2%,3429.0,3429.0,18.7,15.6
151019,,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
151018,4510 4511 4513,18507.5,671,0.157,0.133,84.8%,0.128,81.8%,10.0,10.0,7.4,0.2
151017,4505 4509 4510,44032.0,671,0.387,0.372,96.1%,0.37,95.6%,11.0,11.0,0.1,0.1
151016,4499 4505,17977.9,671,0.154,0.151,97.6%,0.148,95.7%,12.0,12.0,0.1,0.1
