







Day,Fills,Duration,Colliding,LStableDel,LStableRec,LStableRecPercent,LReadyRec,LReadyRecPercent,LPeakAll,LPeakStable,PeakMu,AvgMu







160902,5270 5274,23875.5,2208,225.643,214.468,95.0%,213.182,94.5%,10919.0,10902.0,35.1,30.7







160901,5266 5267,62945.9,2208,481.758,462.424,96.0%,461.359,95.8%,11439.0,11439.0,36.9,25.7







160831,5264 5265 5266,55952.3,2208,504.355,475.965,94.4%,474.08,94.0%,11363.0,11121.0,35.8,29.4







160830,5261,69236.9,2208,447.233,433.91,97.0%,433.91,97.0%,9958.0,9958.0,32.1,22.0







160829,5258 5261,59989.5,2208,447.629,422.964,94.5%,421.981,94.3%,11265.0,11265.0,36.3,25.3







160828,5256 5257,62777.9,2208,486.94,470.759,96.7%,470.233,96.6%,11163.0,11163.0,36.0,26.3







160827,5253 5254,52959.9,2208,368.907,355.768,96.4%,355.494,96.4%,10826.0,10804.0,34.8,24.1







160826,5251 5253,52475.0,2208,437.843,418.648,95.6%,417.717,95.4%,10977.0,10977.0,35.4,27.3







160825,5246 5247 5251,20512.2,2208,62.859,59.071,94.0%,58.061,92.4%,10579.0,10480.0,35.7,32.1







160824,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0







160823,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0







160822,,0.0,0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0







160821,5229,20574.4,2208,160.656,154.105,95.9%,149.691,93.2%,9789.0,9789.0,31.5,26.0







160820,5223,4171.2,2028,15.058,14.313,95.1%,12.388,82.3%,11075.0,3765.0,13.2,12.7







160819,5219 5222,20168.3,2028,130.53,124.602,95.5%,114.41,87.6%,7525.0,7501.0,26.3,22.9







160818,5211 5213,3600.0,2208,34.155,32.288,94.5%,30.462,89.2%,11107.0,11098.0,35.8,33.6







160817,5209 5210 5211,67333.0,2208,524.086,469.906,89.7%,467.222,89.1%,10945.0,10945.0,35.3,26.3







160816,5205 5206 5209,44245.5,2208,324.346,311.495,96.0%,307.159,94.7%,11058.0,11058.0,35.6,29.0







160815,5199,37662.7,2208,177.74,171.623,96.6%,171.623,96.6%,5732.0,5732.0,18.5,15.4







160814,5198 5199,72340.3,2208,486.921,462.797,95.0%,462.028,94.9%,10410.0,10410.0,33.5,22.9







160813,5194 5196 5197 5198,45736.9,2160,392.046,373.37,95.2%,372.318,95.0%,10805.0,10787.0,35.5,29.1







160812,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0







160811,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0







160810,5187,21701.3,2160,153.148,145.833,95.2%,145.833,95.2%,8322.0,8322.0,27.4,23.6







