TripId	HVLINE	Trip TimeStamp	Trip RunNumber	Trip LB	Stable Zero	Ramp Up	Recovery TimeStamp	Recovery RunNumber	Recovery LB	Stable Beams	Fill Number	Num CollBunches	Solenoid	Toroid	Module	Channel	Det	Side	Phi Wedge	SubPhi Wedge	Eta Sector	Electrode Side	Map	Powered Electrodes	HVLINE Status
563	49001	2011-11-27 00:44:33	193825	196	-1	197	2011-11-27 00:50:47	193825	203	Y	2328	356	ON	ON	49	1	HEC	A	3	0	3	EST2	25>32-ID=CR16	8	current
562	158006	2011-11-11 08:38:31	193026	611	615	627	2011-11-11 09:13:36	193026	646	N	2287	0	ON	OFF	158	6	HEC	C	25	0	4	EST1	33>40-ID=CR21	8	current
561	317015	2011-11-10 13:31:49	192939	1	1	0	2011-11-10 17:41:01	0	0	N	2287	0	ON	OFF	317	15	EMECPS	C	31	0	1	H	---------------	0	current
560	74007	2011-10-30 07:23:52	191920	243	-1	243	2011-10-30 07:27:08	191920	246	N	2266	1331	ON	ON	74	7	HEC	A	25	0	2	PAD1	9>24-ID=CF20	16	current
559	69004	2011-10-29 03:05:22	0	0	-1	0	2011-10-29 03:16:28	0	0	N	2263	0	OFF	OFF	69	4	HEC	A	7	0	2	PAD2	9>24-ID=AF23	16	current
557	236013	2011-10-27 06:31:11	191676	834	-1	834	2011-10-27 06:47:08	191676	849	N	2259	0	ON	ON	236	13	EMB	C	3	-1	6	L	0>31	32	current
558	238013	2011-10-27 06:31:11	191676	834	-1	834	2011-10-27 06:32:46	191676	835	N	2259	0	ON	ON	238	13	EMB	C	3	-1	6	H	0>31	32	current
556	145014	2011-10-26 09:03:13	191635	723	-1	723	2011-10-26 09:18:32	191635	739	Y	2254	1331	ON	ON	145	14	EMEC	C	7	7	8	H	24>27	4	new
555	145014	2011-10-22 07:06:51	191425	239	244	-1	9999-12-31 23:00:00	0	0	Y	2239	1331	ON	ON	145	14	EMEC	C	7	7	8	H	24>27	4	new
554	69004	2011-10-22 06:43:53	191425	214	-1	214	2011-10-22 06:44:44	191425	215	N	2239	1331	ON	ON	69	4	HEC	A	7	0	2	PAD2	9>24-ID=AF23	16	current
551	173001	2011-10-16 23:50:12	191190	745	-1	746	2011-10-16 23:54:06	191190	749	Y	2219	1331	ON	ON	173	1	HEC	C	19	0	1	EST2	1>8-ID=CF14	8	current
553	214000	2011-10-16 18:50:39	191190	440	-1	441	2011-10-16 18:53:14	191190	444	Y	2219	1331	ON	ON	214	0	EMB	A	6	0	1	H	32>63	32	current
552	79005	2011-10-16 17:54:14	191190	379	419	-1	9999-12-31 23:00:00	0	0	Y	2219	1331	ON	ON	79	5	HEC	A	31	0	2	EST2	9>24-ID=CF19	16	current
550	134000	2011-10-16 16:19:42	191190	283	-1	284	2011-10-16 16:22:45	191190	287	Y	2219	1331	ON	ON	134	0	EMEC	C	0	1	7	L	0>3	4	new
548	338007	2011-10-15 03:50:02	191138	32	-1	-1	2011-10-15 03:50:13	191138	32	Y	2215	1318	ON	ON	338	7	EMEC	A	5	4	6	H	72>95	24	new
549	342007	2011-10-15 03:49:59	191138	32	-1	-1	2011-10-15 03:50:10	191138	32	Y	2215	1318	ON	ON	342	7	EMEC	A	5	4	6	L	72>95	24	new
547	315013	2011-10-14 04:32:27	190975	539	539	-1	9999-12-31 23:00:00	0	0	Y	2210	1318	ON	ON	315	13	EMECPS	A	29	0	1	L	---------------	0	current
546	142011	2011-10-10 07:20:53	190689	199	-1	200	2011-10-10 07:30:14	190689	209	Y	2200	1318	ON	ON	142	11	EMEC	C	1	4	8	L	12>15	4	new
545	294002	2011-10-09 11:04:22	190643	133	145	136	9999-12-31 23:00:00	0	0	N	2197	1318	ON	ON	294	2	EMBPS	C	24	0	3	H	---------------	0	current
542	146004	2011-10-09 04:33:47	190618	797	-1	798	2011-10-09 04:40:01	190618	804	Y	2195	1318	ON	ON	146	4	EMEC	C	4	5	8	L	16>19	4	new
541	146004	2011-10-08 12:24:49	190611	333	-1	334	2011-10-08 12:31:45	190611	342	Y	2195	1318	ON	ON	146	4	EMEC	C	4	5	8	L	16>19	4	new
540	102001	2011-10-08 12:06:10	190611	315	-1	316	2011-10-08 12:17:54	190611	327	Y	2195	1318	ON	ON	102	1	EMEC	C	0	2	0	L	24>47	24	current
539	102001	2011-10-08 11:39:31	190611	282	-1	283	2011-10-08 11:51:46	190611	300	N	2195	1318	ON	ON	102	1	EMEC	C	0	2	0	L	24>47	24	current
543	324000	2011-10-08 11:39:07	190611	281	282	-1	9999-12-31 23:00:00	0	0	N	2195	1318	ON	ON	324	0	EMEC	C	1	3	0	L	48>71	24	current
544	102004	2011-10-08 11:39:05	190611	281	-1	-1	2011-10-08 11:39:35	190611	282	N	2195	1318	ON	ON	102	4	EMEC	C	1	1	0	L	0>23-1-23	22	current
536	102004	2011-10-08 05:07:54	190608	566	-1	-1	2011-10-08 05:08:23	190608	567	Y	2194	1318	ON	ON	102	4	EMEC	C	1	1	0	L	0>23-1-23	22	current
535	324000	2011-10-08 05:07:53	190608	566	567	-1	9999-12-31 23:00:00	0	0	Y	2194	1318	ON	ON	324	0	EMEC	C	1	3	0	L	48>71	24	current
538	102001	2011-10-08 05:07:53	190608	566	-1	567	2011-10-08 05:21:26	190608	581	Y	2194	1318	ON	ON	102	1	EMEC	C	0	2	0	L	24>47	24	current
537	229014	2011-10-07 10:15:05	190510	1	-1	1	2011-10-07 10:20:59	190510	1	N	2187	1	ON	ON	229	14	EMB	A	0	-1	7	L	0>31	32	current
534	61007	2011-10-06 10:23:07	0	0	-1	-1	2011-10-06 11:07:46	0	0	N	2184	0	OFF	RAMP	61	7	HEC	A	23	0	4	PAD1	33>40-ID=AR17	8	current
533	150009	2011-10-06 08:33:28	190449	580	-1	-1	2011-10-06 09:10:43	0	0	N	2184	0	OFF	RAMP	150	9	HEC	C	10	0	3	EST2	25>32-ID=AR06	8	current
532	61007	2011-10-05 19:31:28	190445	1	-1	1	2011-10-05 20:08:35	190446	21	N	2183	0	ON	ON	61	7	HEC	A	23	0	4	PAD1	33>40-ID=AR17	8	current
530	241006	2011-10-03 20:36:01	190295	175	-1	176	2011-10-03 20:37:48	190295	177	Y	2180	1318	ON	ON	241	6	EMB	C	5	0	7	L	32>63	32	current
