TripId	HVLINE	Trip TimeStamp	Trip RunNumber	Trip LB	Stable Zero	Ramp Up	Recovery TimeStamp	Recovery RunNumber	Recovery LB	Stable Beams	Fill Number	Num CollBunches	Solenoid	Toroid	Module	Channel	Det	Side	Phi Wedge	SubPhi Wedge	Eta Sector	Electrode Side	Map	Powered Electrodes
48	240006	2016-08-26 22:30:04	307259	527	-1	527	2016-08-26 22:48:09	307259	548	Y	5253	2208	ON	ON	240	6	EMB	C	4	0	7	L	32>63	32
47	167003	2016-08-14 02:19:58	306278	674	684	-1	2016-08-14 02:29:33	-1	-1	Y	5198	2160	ON	ON	167	3	HEC	C	11	0	1	PAD1	1>8-ID=AF04	8
46	228015	2016-08-13 18:55:47	306278	207	-1	207	2016-08-13 19:00:55	306278	212	Y	5198	2160	ON	ON	228	15	EMB	A	15	-1	7	L	0>15	16
45	54004	2016-08-09 21:43:54	305920	217	-1	-1	2016-08-09 21:43:59	305920	218	Y	5187	2160	ON	ON	54	4	HEC	A	13	0	4	PAD2	33>40-ID=CR33	8
44	55004	2016-08-08 22:04:43	305811	234	245	-1	2016-08-09 07:32:06	0	0	Y	5183	2161	ON	ON	55	4	HEC	A	15	0	4	PAD2	33>40-ID=CR19	8
43	55004	2016-08-08 14:47:29	305777	1061	1073	0	2016-08-08 16:17:20	0	0	Y	5181	2064	ON	ON	55	4	HEC	A	15	0	4	PAD2	33>40-ID=CR19	8
41	211015	2016-08-05 14:10:52	305618	985	987	0	2016-08-05 15:30:43	305643	1	Y	5163	2064	ON	ON	211	15	EMB	A	6	-1	1	H	30	1
42	209015	2016-08-05 14:10:52	305618	985	-1	986	2016-08-05 14:20:00	305618	996	Y	5163	2064	ON	ON	209	15	EMB	A	6	-1	1	L	30	1
33	93000	2016-08-04 04:58:17	305543	636	640	690	2016-08-04 05:53:47	305543	693	Y	5161	2064	ON	ON	93	0	FCAL	A	2	0	3	A	---------------	0
34	93001	2016-08-04 04:58:17	305543	636	640	690	2016-08-04 05:54:01	305543	694	Y	5161	2064	ON	ON	93	1	FCAL	A	2	0	3	D	---------------	0
35	93002	2016-08-04 04:58:17	305543	636	640	689	2016-08-04 05:53:37	305543	693	Y	5161	2064	ON	ON	93	2	FCAL	A	2	0	3	B	---------------	0
